Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2017",,,,,,,,,, release date: 03/06/2020,,,,
,,,,,,,,,,,,,,
"SOURCE: 2017 County Business Patterns.  For information on confidentiality protection, sampling error, and nonsampling error, see https://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,,,,
"For definitions, see https://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,,,,
The Census Bureau has reviewed this data product for unauthorized disclosure of confidential information and has approved the disclosure avoidance practices applied (Approval ID: CBDRB-FY19-460).,,,,,,,,,,,,,,
FIPS  CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,,,,,
27,Minnesota,01:  Total,"119,376","151,816","2,685,047",G,"142,129,457",G,,,,,,
27,Minnesota,02:  <5,"70,908","70,972","106,530",G,"4,974,453",G,,,,,,
27,Minnesota,03:  5-9,"18,349","18,565","120,621",G,"4,697,130",G,,,,,,
27,Minnesota,04:  10-19,"12,220","12,821","163,770",G,"6,399,854",G,,,,,,
27,Minnesota,05:  <20,"101,477","102,358","390,921",G,"16,071,437",G,,,,,,
27,Minnesota,06:  20-99,"12,032","15,795","457,912",G,"19,587,249",G,,,,,,
27,Minnesota,07:  100-499,"2,981","8,908","410,179",G,"19,226,479",G,,,,,,
27,Minnesota,08:  <500,"116,490","127,061","1,259,012",G,"54,885,165",G,,,,,,
27,Minnesota,09:  500+,"2,886","24,755","1,426,035",G,"87,244,292",G,,,,,,
28,Mississippi,01:  Total,"44,508","59,294","939,485",G,"35,366,718",G,,,,,,
28,Mississippi,02:  <5,"24,136","24,166","42,790",G,"1,478,765",G,,,,,,
28,Mississippi,03:  5-9,"8,258","8,389","54,092",G,"1,622,164",G,,,,,,
28,Mississippi,04:  10-19,"4,946","5,275","65,401",G,"2,047,773",G,,,,,,
28,Mississippi,05:  <20,"37,340","37,830","162,283",G,"5,148,702",G,,,,,,
28,Mississippi,06:  20-99,"4,184","5,670","151,877",G,"5,165,627",G,,,,,,
28,Mississippi,07:  100-499,"1,152","3,456","123,082",G,"4,614,317",G,,,,,,
28,Mississippi,08:  <500,"42,676","46,956","437,242",G,"14,928,646",G,,,,,,
28,Mississippi,09:  500+,"1,832","12,338","502,243",G,"20,438,072",G,,,,,,
29,Missouri,01:  Total,"115,355","150,882","2,517,204",G,"116,773,811",G,,,,,,
29,Missouri,02:  <5,"67,778","67,858","110,308",G,"4,037,903",G,,,,,,
29,Missouri,03:  5-9,"18,478","18,694","121,620",G,"4,192,214",G,,,,,,
29,Missouri,04:  10-19,"11,732","12,302","156,668",G,"5,551,973",G,,,,,,
29,Missouri,05:  <20,"97,988","98,854","388,596",G,"13,782,090",G,,,,,,
29,Missouri,06:  20-99,"11,498","15,396","431,013",G,"16,455,579",G,,,,,,
29,Missouri,07:  100-499,"2,797","7,914","344,173",G,"15,392,634",G,,,,,,
29,Missouri,08:  <500,"112,283","122,164","1,163,782",G,"45,630,303",G,,,,,,
29,Missouri,09:  500+,"3,072","28,718","1,353,422",G,"71,143,508",G,,,,,,
30,Montana,01:  Total,"32,812","38,192","376,565",G,"14,773,193",G,,,,,,
30,Montana,02:  <5,"20,667","20,687","30,918",G,"1,178,487",G,,,,,,
30,Montana,03:  5-9,"5,277","5,329","34,615",G,"1,085,628",G,,,,,,
30,Montana,04:  10-19,"3,121","3,298","41,277",G,"1,364,332",G,,,,,,
