,year,candidate,state,amount_spent,vote_share,cost_per_vote_share,party,party_partition,party_dummy
265,1984,reagan_84,NY,1000.0,45.83,21.81976871045167,Republican,Republican,1
266,1984,reagan_84,MI,2000.0,40.24,49.70178926441351,Republican,Republican,1
269,1984,reagan_84,VA,4000.0,37.09,107.8457805338366,Republican,Republican,1
270,1984,reagan_84,FL,6000.0,34.66,173.11021350259668,Republican,Republican,1
272,1984,reagan_84,MO,25.0,39.98,0.6253126563281641,Republican,Republican,1
275,1984,reagan_84,PA,250.0,45.99,5.435964340073929,Republican,Republican,1
279,1984,reagan_84,KS,25.0,32.6,0.7668711656441718,Republican,Republican,1
286,1984,reagan_84,IL,525.0,43.3,12.12471131639723,Republican,Republican,1
292,1984,reagan_84,TN,3000.0,41.57,72.1674284339668,Republican,Republican,1
294,1984,reagan_84,KY,1000.0,39.37,25.400050800101603,Republican,Republican,1
295,1984,reagan_84,OK,500.0,30.67,16.3025758069775,Republican,Republican,1
306,1988,bush_88,OH,4060.0,44.15,91.95922989807475,Republican,Republican,1
307,1988,bush_88,DC,2858885.0,82.65,34590.260133091346,Republican,Republican,1
308,1988,bush_88,CA,14397.0,47.56,302.71236333052985,Republican,Republican,1
309,1988,bush_88,OR,1884.0,51.28,36.73946957878315,Republican,Republican,1
310,1988,bush_88,MA,4215.0,53.23,79.18467029870374,Republican,Republican,1
312,1988,bush_88,WA,65.0,50.05,1.2987012987012987,Republican,Republican,1
313,1988,bush_88,LA,300.0,44.06,6.808896958692691,Republican,Republican,1
314,1988,bush_88,TX,21442.0,43.35,494.6251441753172,Republican,Republican,1
315,1988,bush_88,IN,2200.0,39.69,55.42957923910305,Republican,Republican,1
