,State,Vote Share,candidate
889,AZ,54.87%,kerry_04
890,AR,54.31%,kerry_04
891,CO,51.69%,kerry_04
892,FL,52.10%,kerry_04
893,GA,57.97%,kerry_04
894,ID,68.38%,kerry_04
895,IN,59.94%,kerry_04
896,IA,49.90%,kerry_04
897,KS,62.00%,kerry_04
898,KY,59.55%,kerry_04
899,LA,56.72%,kerry_04
900,MS,59.45%,kerry_04
901,MO,53.30%,kerry_04
902,MT,59.07%,kerry_04
903,NE,65.90%,kerry_04
904,NV,50.47%,kerry_04
905,NM,49.84%,kerry_04
906,NC,56.02%,kerry_04
907,ND,62.86%,kerry_04
908,OH,50.81%,kerry_04
909,OK,65.57%,kerry_04
910,SC,57.98%,kerry_04
911,SD,59.91%,kerry_04
912,TN,56.80%,kerry_04
913,TX,61.09%,kerry_04
914,UT,71.54%,kerry_04
915,VA,53.68%,kerry_04
916,WV,56.06%,kerry_04
917,WY,68.86%,kerry_04
918,CA,54.31%,bush_04
919,CT,54.31%,bush_04
920,DE,53.35%,bush_04
921,DC,89.18%,bush_04
922,HI,54.01%,bush_04
923,IL,54.82%,bush_04
924,ME,53.57%,bush_04
925,MD,55.91%,bush_04
926,MA,61.94%,bush_04
927,MI,51.23%,bush_04
928,MN,51.09%,bush_04
929,NH,50.24%,bush_04
930,NJ,52.92%,bush_04
931,NY,58.37%,bush_04
932,OR,51.35%,bush_04
